tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,theoretical_GBs,measured_GBs,pct_peak,read_GBs,write_GBs,data_volume_GB,bench_GBs
mem,128,1,4,16,2.4109531,19.6928,2.6951967,4,0,614.4000000000001,446.8668001,72.73222657877602,297.9324678,148.93433230000002,8799.5133,446.66533000000004
mem,128,2,4,16,2.4097415,19.6801,2.696286003,4,0,614.4000000000001,447.1653741,72.78082260742187,298.1334561,149.03191800000002,8799.7182,446.95453000000003
mem,1,1,1,1,2.41194,1.2247,2.695388643,1,0,153.60000000000002,54.768381,35.656498046874994,36.0507793,18.7176017,67.0765,56.11003
mem,1,2,1,1,2.4117246,1.2151,2.696288616,1,0,153.60000000000002,55.201446600000004,35.938441796875,36.3352957,18.8661509,67.0747,56.55521
mem,256,1,8,32,2.4133602,19.7166,2.695346902,8,0,1228.8000000000002,892.6681323,72.64551857910155,595.1479810999999,297.52015120000004,17597.765,892.2516800000001
mem,256,2,8,32,2.4136325000000003,19.7115,2.696290035,8,0,1228.8000000000002,892.8676589,72.6617560953776,595.2832209,297.58443800000003,17597.1224,892.4825999999999
mem,32,1,1,4,2.4128091,19.6447,2.696284534,1,0,153.60000000000002,112.02773619999999,72.93472408854166,74.69421279999999,37.3335234,2200.7165,111.93964
mem,32,2,1,4,2.4130740999999998,19.6548,2.696232546,1,0,153.60000000000002,111.9711555,72.89788769531248,74.6570869,37.3140686,2200.7292,111.88231
mem,8,1,1,1,2.411243,8.4281,2.696289966,1,0,153.60000000000002,65.3039909,42.515619075520824,43.5437918,21.7601992,550.3756,65.22869
mem,8,2,1,1,2.4107966999999997,8.4217,2.695337182,1,0,153.60000000000002,65.36857590000001,42.5576666015625,43.590479,21.7780969,550.4966,65.27884
