tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,prec,theoretical_GFLOPs,measured_GFLOPs,pct_peak,flops_per_cyc_per_core,bench_GFLOPs
dp_fma,128,1,,,3.1068234,2.6274,2.695032935,0,0,DP,6362.7743232,12555.74,197.33121689102123,31.572994702563395,12554.15757
dp_fma,128,2,,,3.1086432,2.6251,2.696293915,0,0,DP,6366.5012736,12570.12,197.44156892145102,31.590651027432163,12565.14286
dp_fma,1,1,1,1,4.1385047,1.9497,2.696288818,0,0,DP,66.2160752,132.17295149999998,199.60855592963318,31.93736894874131,132.17308
dp_fma,1,2,1,1,4.1383186,1.9498,2.696289954,0,0,DP,66.2130976,132.1644781,199.60473515137284,31.936757624219652,132.16457
dp_fma,256,1,,,3.1157024,2.6415,2.695194134,0,0,DP,12761.9170304,25008.11,195.95888251293673,31.353421202069878,24974.935129999998
dp_fma,256,2,,,3.1130871,2.6363,2.696286176,0,0,DP,12751.2047616,25058.94,196.5221362883647,31.44354180613835,25023.97814
dp_fma,32,1,,,3.8484518,2.1035,2.696289603,0,0,DP,1970.4073216,3920.435,198.9657141964205,31.83451427142728,3920.32029
dp_fma,32,2,,,3.8358802,2.1103,2.696265756,0,0,DP,1963.9706624,3907.772,198.9730332949397,31.83568532719035,3907.69529
dp_fma,8,1,1,1,4.1349516,1.952,2.696292576,0,0,DP,529.2738048,1056.136,199.54435500526776,31.927096800842843,1056.1360900000002
dp_fma,8,2,1,1,4.1348654,1.9518,2.696290989,0,0,DP,529.2627712,1056.229,199.56608654056794,31.93057384649087,1056.22865
dp_fma_add,128,1,,,2.6672046,1.6648,2.69629472,0,0,DP,8193.6525312,14864.2,181.41115874025314,43.53867809766076,14860.36703
dp_fma_add,128,2,,,2.6675104000000003,1.6645,2.696197436,0,0,DP,8194.5919488,14873.67,181.50592601719566,43.56142224412695,14862.603070000001
dp_fma_add,1,1,1,1,4.1382575,1.0566,2.696289578,0,0,DP,99.31818,182.9283529,184.1841573214491,44.20419775714778,182.92858999999999
dp_fma_add,1,2,1,1,4.137720099999999,1.0568,2.696286348,0,0,DP,99.30528239999998,182.8795413,184.15892576929022,44.19814218462965,182.87972
dp_fma_add,256,1,,,2.6831087,1.6809,2.695269367,0,0,DP,16485.0198528,29494.1,178.91455553807168,42.9394933291372,29436.17929
dp_fma_add,256,2,,,2.6907625,1.693,2.696282559,0,0,DP,16532.0448,29289.27,177.16665031055325,42.51999607453278,29224.53889
dp_fma_add,32,1,,,3.5765213,1.2315,2.695199561,0,0,DP,2746.7683584,5022.485,182.85069378495427,43.88416650838903,5022.28336
dp_fma_add,32,2,,,3.5768095,1.2333,2.695334875,0,0,DP,2746.989696,5015.07,182.56602881702253,43.815846916085405,5014.86089
dp_fma_add,8,1,1,1,4.1342812,1.0584,2.696290079,0,0,DP,793.7819904,1460.898,184.04272428300231,44.170253827920554,1460.88812
dp_fma_add,8,2,1,1,4.1342541,1.0584,2.696288348,0,0,DP,793.7767872,1460.891,184.04304882147102,44.17033171715305,1460.88725
sp_avx512,128,1,,,2.6630363000000004,1.8305,2.696290421,0,0,SP,10907.796684800001,18029.82,165.29295989834984,52.89374716747195,18019.773269999998
sp_avx512,128,2,,,2.6658583,1.8347,2.696230094,0,0,SP,10919.3555968,17987.91,164.73417172412164,52.714934951718924,17979.036030000003
sp_avx512,1,1,1,1,4.1369537,1.1604,2.696285413,0,0,SP,132.3825184,222.0736166,167.75146694897745,53.68046942367278,222.07382
sp_avx512,1,2,1,1,4.1380241,1.1606,2.696288413,0,0,SP,132.4167712,222.0299919,167.67512897943246,53.656041273418396,222.03034
sp_avx512,256,1,,,2.6705979,1.8368,2.696285733,0,0,SP,21877.5379968,35984.33,164.48071078776496,52.633827452084795,35915.473869999994
sp_avx512,256,2,,,2.6716762,1.8372,2.696285445,0,0,SP,21886.3714304,35930.93,164.1703382137261,52.534508228392355,35907.93023
sp_avx512,32,1,,,3.5626486,1.368,2.696286525,0,0,SP,3648.1521664,6028.336,165.24354591132,52.87793469162241,6028.13837
sp_avx512,32,2,,,3.5766569,1.3505,2.696292882,0,0,SP,3662.4966656,6106.332,166.72594018593173,53.35230085949815,6106.14276
sp_avx512,8,1,1,1,4.1331544000000005,1.1631,2.69629398,0,0,SP,1058.0875264000001,1772.543,167.52328666332906,53.607451732265304,1772.53935
sp_avx512,8,2,1,1,4.1342875999999995,1.1615,2.69514496,0,0,SP,1058.3776255999999,1774.934,167.70328066920163,53.665049814144524,1774.925
sp_avx512_fma,128,1,,,3.1093493,2.6294,2.696197142,0,0,SP,12735.8947328,25092.87,197.024791162696,63.04793317206272,25090.0936
sp_avx512_fma,128,2,,,3.1082422000000003,2.6271,2.696291859,0,0,SP,12731.360051200001,25119.57,197.30468621561246,63.137499588995986,25111.72365
sp_avx512_fma,1,1,1,1,4.1362342,1.95,2.696291193,0,0,SP,132.3594944,264.3111141,199.69184326228435,63.90138984393099,264.31122999999997
sp_avx512_fma,1,2,1,1,4.1378759,1.9502,2.696285731,0,0,SP,132.4120288,264.2826523,199.591120757754,63.869158642481274,264.28278
sp_avx512_fma,256,1,,,3.114807,2.6344,2.696287003,0,0,SP,25516.498944,50153.46,196.5530620406417,62.89697985300534,50083.44055
sp_avx512_fma,256,2,,,3.1177696999999998,2.6378,2.696285404,0,0,SP,25540.769382399998,50087.27,196.10713072142164,62.75428183085492,50019.22017
sp_avx512_fma,32,1,,,3.8466367,2.1043,2.696289154,0,0,SP,3938.9559808,7837.812,198.98196471868528,63.67422870997929,7837.64998
sp_avx512_fma,32,2,,,3.8503768,2.1009,2.696290233,0,0,SP,3942.7858432,7850.444,199.10906430638167,63.71490057804213,7850.28479
sp_avx512_fma,8,1,1,1,4.134945,1.952,2.696288005,0,0,SP,1058.54592,2112.297,199.54703523867911,63.85505127637732,2112.29423
sp_avx512_fma,8,2,1,1,4.1355277,1.9522,2.695159435,0,0,SP,1058.6950912,2112.016,199.49237675279022,63.837560560892875,2112.0162400000004
sp_scalar,128,1,,,3.972963,2.0886,2.696285996,0,0,SP,2034.157056,1053.06,51.76886400653618,2.070754560261447,1052.86451
sp_scalar,128,2,,,3.9724123,2.0897,2.695187236,0,0,SP,2033.8750976,1052.811,51.76379814288159,2.0705519257152636,1052.32502
sp_scalar,1,1,1,1,4.1381647,1.9866,2.696283581,0,0,SP,16.5526588,8.647775600000001,52.244027406642374,2.089761096265695,8.647780000000001
sp_scalar,1,2,1,1,4.1382618,1.9848,2.696290179,0,0,SP,16.5530472,8.655543999999999,52.28973188694827,2.091589275477931,8.65555
sp_scalar,256,1,,,3.9923752,2.0862,2.696289308,0,0,SP,4088.1922048,2111.682,51.65319765349208,2.066127906139683,2108.18566
sp_scalar,256,2,,,3.9935793,2.085,2.696292461,0,0,SP,4089.4252032,2110.254,51.602704417939066,2.0641081767175624,2109.40144
sp_scalar,32,1,,,4.1135871,2.0041,2.696289973,0,0,SP,526.5391488,274.3262756,52.09988207433361,2.083995282973344,274.31905
sp_scalar,32,2,,,4.1126670999999995,2.0044,2.69590385,0,0,SP,526.4213887999999,274.2837866,52.10346548137826,2.08413861925513,274.28054
sp_scalar,8,1,1,1,4.1363095,1.988,2.696287854,0,0,SP,132.361904,69.1339597,52.231010291299526,2.089240411651981,69.13389
sp_scalar,8,2,1,1,4.136615300000001,1.9875,2.696288748,0,0,SP,132.37168960000002,69.1518647,52.240675411005704,2.089627016440228,69.15183999999999
