tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,theoretical_GBs,measured_GBs,pct_peak,read_GBs,write_GBs,data_volume_GB,bench_GBs
mem,192,1,8,24,3.4045616,17.7183,2.396376687,8,0,921.5999999999999,745.0291004999999,80.84083121744791,496.7511882,248.2779122,13199.1553,744.66058
mem,192,2,8,24,3.4039876,17.7179,2.396378562,8,0,921.5999999999999,745.0646483,80.84468840060767,496.77674,248.2879083,13199.3157,744.6804599999999
mem,1,1,1,1,3.6944031,1.5038,2.396379277,1,0,115.19999999999999,45.7444969,39.7087646701389,30.4993262,15.245170700000001,68.7924,45.69612
mem,1,2,1,1,3.6933492,1.517,2.396372646,1,0,115.19999999999999,45.3633231,39.37788463541667,30.2466729,15.1166502,68.8155,45.30012
mem,24,1,1,3,3.6944162,17.6725,2.396378469,1,0,115.19999999999999,93.4398635,81.11099262152779,62.3127541,31.1271095,1651.2599,93.32423
mem,24,2,1,3,3.6944162,17.6617,2.396189851,1,0,115.19999999999999,93.499674,81.16291145833334,62.3537857,31.1458883,1651.3136,93.38082
mem,8,1,1,1,3.6936847,11.3124,2.396379248,1,0,115.19999999999999,48.716106599999996,42.288286979166664,32.4996915,16.2164152,551.0756,48.597739999999995
mem,8,2,1,1,3.6943902,11.4619,2.396132863,1,0,115.19999999999999,48.085623,41.7409921875,32.0810337,16.0045893,551.1348,47.963629999999995
mem,96,1,4,12,3.2555189999999996,17.6852,2.39605435,4,0,460.79999999999995,373.1823038,80.98574301215278,248.8123174,124.3699865,6599.4604,373.02711999999997
mem,96,2,4,12,3.2578017,17.7584,2.396377989,4,0,460.79999999999995,371.65771639999997,80.65488637152778,247.79736540000002,123.860351,6599.6896,371.49053000000004
