tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,per_core_GBs,aggregate_GBs,prefetch_GBs,data_volume_GB,prefetch_volume_GB,pf_to_demand,bench_GBs
l2,192,1,8,24,2.5311363,1.9175,2.396378964,0,0,35.8635133,6885.795,10846.51,13200.6371,20793.661,1.575201321154416,6880.77196
l2,192,2,8,24,2.5172534,1.9203,2.396376889,0,0,35.8408825,6881.449,11042.82,13201.8907,21185.3487,1.6047208071492365,6871.05983
l2,1,1,1,1,3.6930552,1.1933,2.396381544,0,0,57.6130703,57.6130703,93.45385769999999,68.7495,111.5182,1.6220947061433173,57.58807
l2,1,2,1,1,3.6944143,1.199,2.396346835,0,0,57.339061199999996,57.339061199999996,94.63680620000001,68.752,113.4736,1.6504770770304866,57.3121
l2,24,1,1,3,3.6451221,1.2352,2.396380528,0,0,55.6502437,1335.606,2025.98,1649.7414,2502.4924,1.5168998001747425,1335.1806299999998
l2,24,2,1,3,3.6471694,1.2311,2.395762496,0,0,55.8381422,1340.115,2025.722,1649.7507,2493.7671,1.5116023893791952,1339.68982
l2,8,1,1,1,3.6944093,1.2114,2.3959776,0,0,56.742363899999994,453.93891119999995,687.6733054,549.9183,833.0727,1.5149026682690865,453.80397
l2,8,2,1,1,3.6944149000000004,1.2342,2.396136548,0,0,55.7041917,445.6335339,700.0205531,550.0182,863.9924,1.570843292094698,445.42045
l2,96,1,4,12,2.3377901999999997,1.9788,2.396374538,0,0,34.7529713,3336.285,5363.153,6600.8612,10611.0349,1.6075228032366444,3333.85455
l2,96,2,4,12,2.3548025,1.9487,2.396374744,0,0,35.2854356,3387.402,5275.772,6600.0268,10279.3356,1.557468766641978,3385.40691
