tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,theoretical_GBs,measured_GBs,pct_peak,read_GBs,write_GBs,data_volume_GB,bench_GBs
mem,192,1,8,24,1.8971289999999998,17.7926,2.396376213,8,0,921.5999999999999,741.9241208000001,80.5039193576389,494.6776289,247.2464919,13198.6743,741.55035
mem,192,2,8,24,1.8965482,17.7931,2.396377743,8,0,921.5999999999999,741.9293066,80.50448205295139,494.6848727,247.244434,13199.119,741.53268
mem,1,1,1,1,1.8971274,1.632,2.396372074,1,0,115.19999999999999,42.1595705,36.596849392361115,28.1098812,14.0496893,68.8037,42.1081
mem,1,2,1,1,1.8971265000000002,1.6362,2.39637777,1,0,115.19999999999999,42.0873481,36.53415633680556,28.0672273,14.0201209,68.865,41.99851
mem,24,1,1,3,1.8971179,17.761,2.396365554,1,0,115.19999999999999,92.9809111,80.71259644097222,62.0099006,30.971010600000003,1651.3521,92.85884
mem,24,2,1,3,1.8971309,17.7258,2.396376872,1,0,115.19999999999999,93.1748973,80.88098723958333,62.1412105,31.033686799999998,1651.5167,93.04361999999999
mem,8,1,1,1,1.8971310000000001,11.9365,2.396379476,1,0,115.19999999999999,46.174894200000004,40.08237343750001,30.803733100000002,15.371161200000001,551.1334,46.05682
mem,8,2,1,1,1.8971139000000001,11.9346,2.396374562,1,0,115.19999999999999,46.193605000000005,40.0986154513889,30.821991099999998,15.3716139,551.2689,46.064029999999995
mem,96,1,4,12,1.8971291000000001,17.7666,2.396372157,4,0,460.79999999999995,371.4682945,80.61377918836807,247.6684559,123.7998387,6599.3386,371.31778
mem,96,2,4,12,1.8971255,17.7777,2.396351882,4,0,460.79999999999995,371.2324881,80.56260592447919,247.511309,123.7211791,6599.3368,371.08603999999997
